Time,Test,Solver,Threading,Threads,Iterations,Notes,JuMP build,Build (RAM only),Optimisation,Total,Optimum Value
2020-06-17 23:25:12,LISWET1,RAM,true,1,300,,3.343806028366089,20.251816987991333,2.612689971923828,26.20831298828125,-2500.4207828963845
2020-06-17 23:25:41,LISWET1,RAM,true,1,350,,3.343806028366089,19.634544134140015,2.909472942352295,25.8878231048584,-2500.4207334274165
2020-06-17 23:26:10,LISWET1,RAM,true,1,400,,3.343806028366089,19.972058057785034,3.462049961090088,26.77791404724121,-2500.420065394823
2020-06-17 23:26:39,LISWET1,RAM,true,1,450,,3.343806028366089,19.239657163619995,3.8364529609680176,26.4199161529541,-2500.4194769864985
2020-06-17 23:27:08,LISWET1,RAM,true,1,500,,3.343806028366089,19.86606216430664,4.247887849807739,27.45775604248047,-2500.418982804725
2020-06-17 23:27:39,LISWET1,RAM,true,1,300,,4.1147308349609375,18.799667835235596,2.589327812194824,25.503726482391357,-2500.4207828963845
2020-06-17 23:28:07,LISWET1,RAM,true,1,350,,4.1147308349609375,19.76998019218445,2.9914488792419434,26.87615990638733,-2500.4207334274165
2020-06-17 23:28:35,LISWET1,RAM,true,1,400,,4.1147308349609375,19.263336896896362,3.3971290588378906,26.77519679069519,-2500.420065394823
2020-06-17 23:29:05,LISWET1,RAM,true,1,450,,4.1147308349609375,20.33604598045349,3.8957149982452393,28.346491813659668,-2500.4194769864985
2020-06-17 23:29:35,LISWET1,RAM,true,1,500,,4.1147308349609375,21.03207015991211,4.118273973464966,29.265074968338013,-2500.418982804725
2020-06-17 23:30:07,LISWET1,RAM,true,1,300,,4.113606929779053,19.754580974578857,2.4002461433410645,26.268434047698975,-2500.4207828963845
2020-06-17 23:30:36,LISWET1,RAM,true,1,350,,4.113606929779053,19.83852195739746,3.0946600437164307,27.046788930892944,-2500.4207334274165
2020-06-17 23:31:04,LISWET1,RAM,true,1,400,,4.113606929779053,19.302953004837036,3.2008919715881348,26.617451906204224,-2500.420065394823
2020-06-17 23:31:33,LISWET1,RAM,true,1,450,,4.113606929779053,19.812073945999146,3.7428178787231445,27.668498754501343,-2500.4194769864985
2020-06-17 23:32:01,LISWET1,RAM,true,1,500,,4.113606929779053,19.188060998916626,4.297398805618286,27.599066734313965,-2500.418982804725
2020-06-17 23:32:32,LISWET2,RAM,true,1,300,,3.970435857772827,19.24162793159485,2.4598889350891113,25.671952724456787,-1667.004811043648
2020-06-17 23:33:00,LISWET2,RAM,true,1,350,,3.970435857772827,19.454553842544556,3.284250020980835,26.709239721298218,-1667.0047904214166
2020-06-17 23:33:29,LISWET2,RAM,true,1,400,,3.970435857772827,19.65732192993164,3.3154590129852295,26.943216800689697,-1667.0041275275453
2020-06-17 23:33:57,LISWET2,RAM,true,1,450,,3.970435857772827,19.235986948013306,3.7086660861968994,26.915088891983032,-1667.0035350814003
2020-06-17 23:34:26,LISWET2,RAM,true,1,500,,3.970435857772827,19.549620866775513,4.405555009841919,27.92561173439026,-1667.0030319900943
