Time,Test,Solver,Threading,Threads,Iterations,Notes,File Load,Matrix Load,JuMP build,Build (RAM only),Optimisation,Total,Optimum Value
2020-06-04 19:50:19,HS21,OSQP,,,,,0.0021321773529052734,2.6941299438476562e-5,5.793571472167969e-5,,0.0012569427490234375,0.003473997116088867,0.009986868296713467
2020-06-04 19:50:19,HS21,IPOPT,,,,,0.0006577968597412109,2.2172927856445312e-5,4.696846008300781e-5,,0.010514974594116211,0.011241912841796875,0.009999005325508925
2020-06-04 19:54:11,HS21,RAM,multi-threaded,8,10,,0.0027298927307128906,3.0994415283203125e-5,5.7220458984375e-5,0.00018310546875,0.0013270378112792969,0.004328250885009766,0.009999000099990002
2020-06-04 19:54:11,HS21,RAM,multi-threaded,8,20,,0.0007250308990478516,2.6941299438476562e-5,6.508827209472656e-5,0.00013017654418945312,0.0016028881072998047,0.0025501251220703125,0.009999000099990002
2020-06-04 19:54:11,HS21,RAM,multi-threaded,8,30,,0.0006358623504638672,1.811981201171875e-5,3.695487976074219e-5,8.106231689453125e-5,0.0024619102478027344,0.0032339096069335938,0.009999000099990002
2020-06-04 19:54:11,HS21,RAM,multi-threaded,8,40,,0.0006301403045654297,1.7881393432617188e-5,3.719329833984375e-5,8.916854858398438e-5,0.003551959991455078,0.004326343536376953,0.009999000099990002
2020-06-04 19:54:12,HS21,RAM,multi-threaded,8,50,,0.0006339550018310547,1.71661376953125e-5,3.886222839355469e-5,8.606910705566406e-5,0.0044498443603515625,0.0052258968353271484,0.009999000099990002
2020-06-04 19:54:12,HS21,RAM,single-threaded,8,10,,0.0006330013275146484,1.811981201171875e-5,3.886222839355469e-5,8.797645568847656e-5,3.790855407714844e-5,0.0008158683776855469,0.009999000099990002
2020-06-04 19:54:12,HS21,RAM,single-threaded,8,20,,0.0006229877471923828,1.7881393432617188e-5,3.910064697265625e-5,8.58306884765625e-5,4.601478576660156e-5,0.0008118152618408203,0.009999000099990002
2020-06-04 19:54:12,HS21,RAM,single-threaded,8,30,,0.0006151199340820312,1.6927719116210938e-5,3.910064697265625e-5,0.00010013580322265625,6.103515625e-5,0.0008323192596435547,0.009999000099990002
2020-06-04 19:54:12,HS21,RAM,single-threaded,8,40,,0.0008230209350585938,2.6941299438476562e-5,5.602836608886719e-5,0.00013709068298339844,8.20159912109375e-5,0.0011250972747802734,0.009999000099990002
2020-06-04 19:54:12,HS21,RAM,single-threaded,8,50,,0.0006170272827148438,1.7881393432617188e-5,4.1961669921875e-5,8.893013000488281e-5,8.392333984375e-5,0.0008497238159179688,0.009999000099990002
2020-06-04 20:08:56,LISWET1,RAM,multi-threaded,8,10,,0.14865708351135254,2.5883491039276123,69.7640278339386,18.98812198638916,0.07587814331054688,91.56503415107727,-2514.7815324578655
2020-06-04 20:10:56,LISWET1,RAM,multi-threaded,8,20,,0.15050315856933594,4.016792058944702,94.80289101600647,17.576451063156128,0.0952310562133789,116.64186835289001,-2506.5307159439853
2020-06-04 20:12:55,LISWET1,RAM,multi-threaded,8,30,,0.14499902725219727,3.2799530029296875,94.01127600669861,18.073638916015625,0.12443995475769043,115.63430690765381,-2502.7494291598014
2020-06-04 20:15:01,LISWET1,RAM,multi-threaded,8,40,,0.14497590065002441,3.2931718826293945,100.72790598869324,17.593417167663574,0.14112091064453125,121.90059185028076,-2501.2733372878424
2020-06-04 20:17:05,LISWET1,RAM,multi-threaded,8,50,,0.15998506546020508,3.493756055831909,97.4818320274353,18.501338958740234,0.15508103370666504,119.79199314117432,-2500.731515504814
2020-06-04 20:19:12,LISWET1,RAM,single-threaded,8,10,,0.1604318618774414,3.501051902770996,99.91495490074158,17.96434998512268,0.7970199584960938,122.33780860900879,-2011.5284987102486
2020-06-04 20:21:19,LISWET1,RAM,single-threaded,8,20,,0.1451129913330078,3.0438690185546875,100.628977060318,18.268430948257446,1.529245138168335,123.61563515663147,-2330.1002988817213
2020-06-04 20:23:27,LISWET1,RAM,single-threaded,8,30,,0.1478869915008545,3.1125268936157227,99.73599600791931,18.31894302368164,2.2686760425567627,123.58402895927429,-2402.2122240809103
2020-06-04 20:25:37,LISWET1,RAM,single-threaded,8,40,,0.15277314186096191,3.063965082168579,101.53113293647766,18.747928857803345,2.9888439178466797,126.48464393615723,-2436.34236149151
2020-06-04 20:27:48,LISWET1,RAM,single-threaded,8,50,,0.15350794792175293,4.233114957809448,99.31898903846741,19.288085222244263,3.7261850833892822,126.71988224983215,-2455.1878609738237
2020-06-04 20:56:55,LISWET1,RAM,multi-threaded,16,10,,0.17941498756408691,3.697566032409668,102.53031992912292,19.48743200302124,0.0741119384765625,125.96884489059448,-2514.780907760466
2020-06-04 20:47:41,LISWET1,RAM,multi-threaded,16,20,,0.14345097541809082,3.2552828788757324,90.98909401893616,18.098181009292603,0.09356880187988281,112.57957768440247,-2506.5307360240754
2020-06-04 20:49:39,LISWET1,RAM,multi-threaded,16,30,,0.15385103225708008,3.529109001159668,91.86227202415466,18.59247612953186,0.10802888870239258,114.24573707580566,-2502.749691786761
2020-06-04 20:51:43,LISWET1,RAM,multi-threaded,16,40,,0.1518099308013916,4.06337308883667,97.13898491859436,18.638893127441406,0.12161707878112793,120.11467814445496,-2501.2735972357505
2020-06-04 20:53:44,LISWET1,RAM,multi-threaded,16,50,,0.13905096054077148,3.324903964996338,94.6439459323883,18.251224040985107,0.14975595474243164,116.50888085365295,-2500.7316797320887
2020-06-04 21:07:57,LISWET1,OSQP,,,,,0.10494709014892578,3.2021381855010986,96.73105096817017,,7.536778926849365,107.57491517066956,-2500.408981032158
