Time,Test,Solver,Threading,Threads,Iterations,Notes,JuMP build,Build (RAM only),Optimisation,Total,Optimum Value
2020-06-08 11:50:22,AUG2DC,RAM,false,8,10,,13.532510995864868,70.50042700767517,0.9006381034851074,84.93357610702515,-9962.57638545326
2020-06-08 11:51:59,AUG2DC,RAM,false,8,20,,13.532510995864868,67.77040004730225,1.6466410160064697,82.94955205917358,-10048.837244459855
2020-06-08 11:53:31,AUG2DC,RAM,false,8,30,,13.532510995864868,66.0737669467926,2.4520039558410645,82.05828189849854,-10048.84150627563
2020-06-08 11:55:09,AUG2DC,RAM,false,8,40,,13.532510995864868,69.64172291755676,3.680640935897827,86.85487484931946,-10048.841506350953
2020-06-08 11:56:47,AUG2DC,RAM,false,8,50,,13.532510995864868,67.54571294784546,4.2675769329071045,85.34580087661743,-10048.841506350955
2020-06-08 11:58:24,AUG2DC,RAM,false,8,60,,13.532510995864868,66.72284579277039,4.914041996002197,85.16939878463745,-10048.841506350955
2020-06-08 12:00:04,AUG2DC,RAM,false,8,70,,13.532510995864868,66.658695936203,5.754515886306763,85.94572281837463,-10048.841506350955
2020-06-08 12:01:46,AUG2DC,RAM,false,8,80,,13.532510995864868,69.80507516860962,6.984910011291504,90.32249617576599,-10048.841506350955
2020-06-08 12:03:25,AUG2DC,RAM,false,8,90,,13.532510995864868,67.85932493209839,7.225157976150513,88.61699390411377,-10048.841506350955
2020-06-08 12:05:04,AUG2DC,RAM,false,8,100,,13.532510995864868,66.63649582862854,7.7418859004974365,87.91089272499084,-10048.841506350955
2020-06-08 12:05:04,HS21,RAM,false,8,10,,0.0037860870361328125,0.000202178955078125,4.506111145019531e-5,0.004033327102661133,0.009999000099990002
2020-06-08 12:05:04,HS21,RAM,false,8,20,,0.0037860870361328125,0.00010609626770019531,6.580352783203125e-5,0.003957986831665039,0.009999000099990002
2020-06-08 12:05:04,HS21,RAM,false,8,30,,0.0037860870361328125,0.00010800361633300781,6.818771362304688e-5,0.003962278366088867,0.009999000099990002
2020-06-08 12:05:04,HS21,RAM,false,8,40,,0.0037860870361328125,8.702278137207031e-5,6.699562072753906e-5,0.003940105438232422,0.009999000099990002
2020-06-08 12:05:04,HS21,RAM,false,8,50,,0.0037860870361328125,0.00011992454528808594,8.916854858398438e-5,0.003995180130004883,0.009999000099990002
2020-06-08 12:05:05,HS21,RAM,false,8,60,,0.0037860870361328125,0.00011396408081054688,0.00010585784912109375,0.004005908966064453,0.009999000099990002
2020-06-08 12:05:05,HS21,RAM,false,8,70,,0.0037860870361328125,0.00010395050048828125,0.00011086463928222656,0.00400090217590332,0.009999000099990002
2020-06-08 12:05:05,HS21,RAM,false,8,80,,0.0037860870361328125,9.989738464355469e-5,0.00012302398681640625,0.0040090084075927734,0.009999000099990002
2020-06-08 12:05:05,HS21,RAM,false,8,90,,0.0037860870361328125,7.605552673339844e-5,0.0001399517059326172,0.004002094268798828,0.009999000099990002
2020-06-08 12:05:05,HS21,RAM,false,8,100,,0.0037860870361328125,8.606910705566406e-5,0.00015592575073242188,0.0040280818939208984,0.009999000099990002
2020-06-08 12:05:05,HS118,RAM,false,8,10,,0.16910815238952637,0.0002582073211669922,0.00014090538024902344,0.16950726509094238,-142574.6381399802
2020-06-08 12:05:05,HS118,RAM,false,8,20,,0.16910815238952637,0.00025010108947753906,0.0005128383636474609,0.16987109184265137,-142583.32354333266
2020-06-08 12:05:05,HS118,RAM,false,8,30,,0.16910815238952637,0.00022792816162109375,0.000762939453125,0.17009902000427246,-142583.3235433333
2020-06-08 12:05:05,HS118,RAM,false,8,40,,0.16910815238952637,0.011456012725830078,0.0009129047393798828,0.18147706985473633,-142583.32354333333
2020-06-08 12:05:05,HS118,RAM,false,8,50,,0.16910815238952637,0.0002307891845703125,0.001230001449584961,0.17056894302368164,-142583.32354333336
2020-06-08 12:05:05,HS118,RAM,false,8,60,,0.16910815238952637,0.0002429485321044922,0.0014460086822509766,0.17079710960388184,-142583.32354333333
2020-06-08 12:05:05,HS118,RAM,false,8,70,,0.16910815238952637,0.0002391338348388672,0.0016770362854003906,0.17102432250976562,-142583.32354333327
2020-06-08 12:05:05,HS118,RAM,false,8,80,,0.16910815238952637,0.00023698806762695312,0.0019412040710449219,0.17128634452819824,-142583.32354333333
2020-06-08 12:05:05,HS118,RAM,false,8,90,,0.16910815238952637,0.0002281665802001953,0.0021779537200927734,0.17151427268981934,-142583.32354333333
2020-06-08 12:05:05,HS118,RAM,false,8,100,,0.16910815238952637,0.0002491474151611328,0.0024080276489257812,0.17176532745361328,-142583.32354333336
2020-06-08 12:05:35,LISWET1,RAM,false,8,10,,4.609281063079834,19.04951000213623,0.9187688827514648,24.57755994796753,-2014.6608913339533
2020-06-08 12:06:00,LISWET1,RAM,false,8,20,,4.609281063079834,19.073256015777588,1.684039831161499,25.36657691001892,-2336.108696668503
2020-06-08 12:06:27,LISWET1,RAM,false,8,30,,4.609281063079834,19.23685097694397,2.4962260723114014,26.342358112335205,-2408.298757752869
2020-06-08 12:06:53,LISWET1,RAM,false,8,40,,4.609281063079834,18.734748125076294,3.2845098972320557,26.628539085388184,-2441.7905970672427
2020-06-08 12:07:22,LISWET1,RAM,false,8,50,,4.609281063079834,19.522490978240967,4.340765953063965,28.472537994384766,-2452.7830815023426
2020-06-08 12:07:51,LISWET1,RAM,false,8,60,,4.609281063079834,18.934265851974487,5.436733961105347,28.980280876159668,-2463.17052413532
